Code,Company name,Volume,Adj Close,std,price_change,pc_change,short_pred,long_pred
ABP,ABACUS PROPERTY GROUP,436605.0,4.21,0.8604070801570838,0.0,0.0,SELL,BUY
ABC,ADELAIDE BRIGHTON LIMITED,2365140.0,4.35,1.397284667027091,0.17,4.07,BUY,BUY
APT,AFTERPAY TOUCH GROUP LIMITED,1409695.0,24.02,7.223012978155271,0.61,2.61,SELL,BUY
AGL,AGL ENERGY LIMITED.,1397101.0,20.72,0.4205698372979283,0.36,1.77,BUY,
ALQ,ALS LIMITED,1825973.0,7.21,1.680445949984765,0.2,2.85,SELL,SELL
ALU,ALTIUM LIMITED,186504.0,36.07,8.963477816878823,-0.05,-0.14,BUY,BUY
AWC,ALUMINA LIMITED,7852024.0,2.24,0.5523267032964232,0.05,2.28,SELL,SELL
AMC,AMCOR PLC,2381274.0,15.92,4.0510218847320205,-0.03,-0.19,SELL,BUY
AMP,AMP LIMITED,11271844.0,1.795,0.8408725071921547,0.01,0.56,SELL,SELL
ANN,ANSELL LIMITED,288749.0,26.98,5.338196444356238,-0.01,-0.04,SELL,BUY
APA,APA GROUP,1375405.0,11.0,2.4773350786837494,0.19,1.76,SELL,BUY
APX,APPEN LIMITED,367991.0,30.13,7.301714304360704,0.25,0.84,BUY,BUY
ARB,ARB CORPORATION LIMITED.,86814.0,18.71,4.578525622534816,-0.07,-0.37,BUY,BUY
ALG,ARDENT LEISURE GROUP LIMITED,455865.0,1.13,0.1640792212138588,0.03,2.73,BUY,SELL
ALL,ARISTOCRAT LEISURE LIMITED,1270216.0,29.71,9.025148580185322,-0.2,-0.67,SELL,BUY
ASX,ASX LIMITED,245590.0,87.35,15.22495504220879,0.85,0.98,BUY,BUY
ALX,ATLAS ARTERIA,1233168.0,7.88,2.035527831986082,0.07,0.9,SELL,BUY
AZJ,AURIZON HOLDINGS LIMITED,3389622.0,5.54,0.8350911044243611,0.02,0.36,BUY,BUY
ASL,AUSDRILL LIMITED,2188985.0,1.965,0.7605016833596018,-0.035,-1.75,BUY,BUY
AST,AUSNET SERVICES LIMITED,7361108.0,1.84,0.411358565725755,0.01,0.55,SELL,BUY
ASB,AUSTAL LIMITED,5275463.0,4.13,0.5934086598238523,0.14,3.51,BUY,BUY
ANZ,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,3624244.0,27.38,5.096180388598292,0.17,0.62,SELL,BUY
API,AUSTRALIAN PHARMACEUTICAL INDUSTRIES LIMITED,1024139.0,1.395,0.6057444234864423,-0.005,-0.36,BUY,BUY
AOG,AVEO GROUP,2120815.0,1.925,0.6592533754862772,-0.025,-1.28,SELL,SELL
BOQ,BANK OF QUEENSLAND LIMITED.,1177297.0,9.12,2.242830652541202,0.05,0.55,SELL,BUY
BAP,BAPCOR LIMITED,679737.0,6.22,1.5685677549441392,0.03,0.48,BUY,BUY
BPT,BEACH ENERGY LIMITED,5136056.0,1.895,0.42201166143860325,0.045,2.43,SELL,SELL
BGA,BEGA CHEESE LIMITED,2448274.0,4.5,1.8160534598262315,0.06,1.35,SELL,SELL
BAL,BELLAMY'S AUSTRALIA LIMITED,699944.0,9.14,4.601561085215092,0.16,1.78,BUY,SELL
BEN,BENDIGO AND ADELAIDE BANK LIMITED,836704.0,11.48,2.083686694192952,0.11,0.97,BUY,BUY
BHP,BHP GROUP LIMITED,3169387.0,41.06,5.0428141667518105,0.16,0.39,SELL,BUY
BIN,BINGO INDUSTRIES LIMITED,2655905.0,2.5,0.4313269393537928,0.05,2.04,BUY,BUY
BKL,BLACKMORES LIMITED,38362.0,90.0,52.37514509336917,-0.51,-0.56,SELL,SELL
BSL,BLUESCOPE STEEL LIMITED,2626862.0,12.62,4.500051612934767,0.32,2.6,BUY,SELL
BLD,BORAL LIMITED.,3700391.0,5.57,1.298496285619884,0.14,2.58,BUY,BUY
BXB,BRAMBLES LIMITED,2437445.0,12.49,2.4982748952409923,0.08,0.64,SELL,BUY
BVS,BRAVURA SOLUTIONS LIMITED.,1201859.0,4.72,1.485603894967373,0.12,2.61,BUY,SELL
BRG,BREVILLE GROUP LIMITED,77041.0,17.93,3.8932934192063473,-0.02,-0.11,BUY,BUY
BKW,BRICKWORKS LIMITED,118222.0,17.19,2.7306338069184988,0.41,2.44,BUY,BUY
BWP,BWP TRUST,1277998.0,3.81,0.8138563035966723,0.02,0.53,SELL,BUY
CTX,CALTEX AUSTRALIA LIMITED,511800.0,25.7,8.643304979246917,0.09,0.35,BUY,SELL
CAR,CARSALES.COM LIMITED.,400781.0,13.82,3.470832688706645,-0.04,-0.29,SELL,BUY
CGF,CHALLENGER LIMITED,1455570.0,6.78,3.3268210903516304,0.02,0.3,BUY,SELL
CHC,CHARTER HALL GROUP,1422178.0,11.58,2.1591478998636795,-0.04,-0.34,BUY,BUY
CLW,CHARTER HALL LONG WALE REIT,258673.0,5.15,0.4510879010246041,0.04,0.78,BUY,BUY
CQR,CHARTER HALL RETAIL REIT,527412.0,4.51,0.8763709201452049,0.03,0.67,BUY,BUY
CNU,CHORUS LIMITED,1450060.0,5.19,1.151876324170972,-0.05,-0.95,SELL,SELL
CIM,CIMIC GROUP LIMITED,1470604.0,36.57,11.586523261222922,-0.75,-2.01,SELL,SELL
CWY,CLEANAWAY WASTE MANAGEMENT LIMITED,1857352.0,2.45,0.42693722604964346,-0.03,-1.21,BUY,BUY
CUV,CLINUVEL PHARMACEUTICALS LIMITED,301234.0,31.2,6.6667546911589834,-1.8,-5.45,SELL,BUY
CCL,COCA-COLA AMATIL LIMITED,973892.0,10.48,0.9453713066334694,0.04,0.38,BUY,BUY
COH,COCHLEAR LIMITED,135576.0,219.11,50.841892540112674,-1.61,-0.73,BUY,BUY
COL,COLES GROUP LIMITED.,1620603.0,13.93,0.7062893863114217,0.02,0.14,BUY,BUY
CBA,COMMONWEALTH BANK OF AUSTRALIA.,2208256.0,82.09,16.175298860832626,0.59,0.72,BUY,BUY
CPU,COMPUTERSHARE LIMITED.,832353.0,16.56,3.6743098577671303,0.09,0.55,SELL,SELL
COE,COOPER ENERGY LIMITED,5477683.0,0.535,0.0989974197256206,0.01,1.9,SELL,BUY
CTD,CORPORATE TRAVEL MANAGEMENT LIMITED,214804.0,22.03,8.78704018100168,0.29,1.33,SELL,SELL
CGC,COSTA GROUP HOLDINGS LIMITED,5853788.0,4.14,1.883355481538355,-0.12,-2.82,SELL,SELL
CCP,CREDIT CORP GROUP LIMITED,144429.0,26.93,6.570066155711222,0.32,1.2,BUY,BUY
CMW,CROMWELL PROPERTY GROUP,3505672.0,1.17,0.23738489714327607,0.005,0.43,SELL,BUY
CWN,CROWN RESORTS LIMITED,912603.0,12.67,2.650209509677324,-0.01,-0.08,BUY,BUY
CSL,CSL LIMITED,769356.0,224.78,54.861289857294125,0.32,0.14,BUY,BUY
CSR,CSR LIMITED,2197033.0,4.31,1.000897926432229,0.14,3.36,BUY,BUY
CYB,CYBG PLC,2719416.0,3.49,0.7975998955948304,0.04,1.16,SELL,SELL
DXS,DEXUS,2044296.0,13.61,2.4795112068252982,0.08,0.59,BUY,BUY
DHG,DOMAIN HOLDINGS AUSTRALIA LIMITED.,411356.0,3.06,0.3897137011149792,0.01,0.33,SELL,BUY
DMP,DOMINO'S PIZZA ENTERPRISES LIMITED,525251.0,37.47,20.853042600496906,-0.32,-0.85,SELL,SELL
DOW,DOWNER EDI LIMITED,1171402.0,6.87,1.6820651538739229,0.06,0.88,SELL,SELL
DLX,DULUXGROUP LIMITED,902772.0,9.36,1.984392510993217,0.01,0.11,BUY,BUY
ECX,ECLIPX GROUP LIMITED,2387182.0,1.53,0.7189168231716667,0.01,0.66,BUY,BUY
ELD,ELDERS LIMITED,520806.0,7.26,2.4444414420622005,0.22,3.13,BUY,BUY
EHL,EMECO HOLDINGS LIMITED,562381.0,2.21,0.529720256587179,0.01,0.45,BUY,BUY
EHE,ESTIA HEALTH LIMITED,607475.0,2.69,1.1027089719829268,-0.01,-0.37,BUY,BUY
EVN,EVOLUTION MINING LIMITED,13477838.0,4.83,0.9010945496771348,-0.02,-0.41,BUY,BUY
FPH,FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED,179074.0,15.3,4.313817499725817,0.13,0.86,BUY,BUY
FBU,FLETCHER BUILDING LIMITED,1030060.0,4.7,1.3722966416390925,-0.02,-0.42,SELL,SELL
FLT,FLIGHT CENTRE TRAVEL GROUP LIMITED,170297.0,43.06,12.774647815701522,-0.03,-0.07,BUY,BUY
FMG,FORTESCUE METALS GROUP LTD,12960166.0,8.7,1.3118198115155915,0.04,0.46,SELL,BUY
GUD,G.U.D. HOLDINGS LIMITED,183513.0,10.29,2.7838447642573523,0.02,0.19,SELL,SELL
GEM,G8 EDUCATION LIMITED,1063941.0,2.67,1.1870659350568262,0.03,1.14,SELL,SELL
GXY,GALAXY RESOURCES LIMITED,3778711.0,1.33,1.4063970337982308,0.035,2.7,BUY,SELL
GMG,GOODMAN GROUP,3221814.0,15.17,2.941134169011285,0.13,0.86,SELL,BUY
GPT,GPT GROUP,5695444.0,6.16,1.2078711328913017,0.01,0.16,SELL,BUY
GNC,GRAINCORP LIMITED,704967.0,8.81,1.5585522778159118,0.19,2.2,BUY,BUY
GOZ,GROWTHPOINT PROPERTIES AUSTRALIA,737493.0,4.38,0.9105065318683144,0.04,0.92,BUY,BUY
GWA,GWA GROUP LIMITED.,1714777.0,3.56,0.48919668426923735,0.12,3.49,BUY,BUY
HVN,HARVEY NORMAN HOLDINGS LIMITED,1881575.0,4.31,0.921913915867416,0.04,0.94,BUY,BUY
HLS,HEALIUS LIMITED,734849.0,2.94,0.2541415543259639,0.01,0.34,SELL,SELL
HUB,HUB24 LIMITED,584982.0,11.4,4.126863853688002,0.07,0.62,SELL,SELL
IEL,IDP EDUCATION LIMITED,225936.0,18.7,4.030743469510407,-0.05,-0.27,BUY,BUY
ILU,ILUKA RESOURCES LIMITED,1109151.0,10.88,2.583896878051111,0.23,2.16,BUY,BUY
IPL,INCITEC PIVOT LIMITED,4305345.0,3.25,0.49243689092479803,0.1,3.17,SELL,SELL
IGO,INDEPENDENCE GROUP NL,2632900.0,5.39,0.9638891514754108,0.04,0.75,BUY,BUY
ING,INGHAMS GROUP LIMITED,749058.0,4.12,0.5231590163635617,0.04,0.98,BUY,SELL
IAG,INSURANCE AUSTRALIA GROUP LIMITED,2980522.0,8.45,1.7982583423948961,0.07,0.84,BUY,BUY
IVC,INVOCARE LIMITED,177552.0,16.2,3.3258576852997224,0.09,0.56,SELL,BUY
IFL,IOOF HOLDINGS LIMITED,923267.0,5.23,1.8469929251864894,0.04,0.77,SELL,SELL
IPH,IPH LIMITED,764276.0,8.07,1.207247794058472,0.09,1.13,BUY,BUY
IRE,IRESS LIMITED,526539.0,13.49,2.5277678721735803,0.03,0.22,SELL,SELL
JHX,JAMES HARDIE INDUSTRIES PLC,1391452.0,18.77,5.994682820246611,0.08,0.43,BUY,BUY
JHG,JANUS HENDERSON GROUP PLC,113340.0,32.11,11.542072972396392,0.34,1.07,BUY,SELL
JBH,JB HI-FI LIMITED,490093.0,29.3,5.810752815337198,0.39,1.35,BUY,BUY
LLC,LENDLEASE GROUP,3392644.0,14.96,4.143028255131946,-0.15,-0.99,BUY,BUY
LNK,LINK ADMINISTRATION HOLDINGS LIMITED,3135296.0,5.1,0.6345812401167649,0.01,0.2,SELL,SELL
LYC,LYNAS CORPORATION LIMITED,4172144.0,2.82,5.737970677152055,0.05,1.81,BUY,BUY
MQG,MACQUARIE GROUP LIMITED,424021.0,127.29,32.93189136083913,0.57,0.45,BUY,BUY
MFG,MAGELLAN FINANCIAL GROUP LIMITED,807401.0,58.0,11.130515221255367,1.17,2.06,BUY,BUY
MYX,MAYNE PHARMA GROUP LIMITED,5461385.0,0.5,0.4168689383081371,0.015,3.09,SELL,SELL
MMS,MCMILLAN SHAKESPEARE LIMITED,215652.0,13.45,3.5584810363247703,0.24,1.82,BUY,BUY
MPL,MEDIBANK PRIVATE LIMITED,7423757.0,3.65,0.42042967508927964,0.06,1.67,BUY,BUY
MTS,METCASH LIMITED,1580164.0,2.88,0.5741977742063387,0.03,1.05,BUY,BUY
MIN,MINERAL RESOURCES LIMITED,1031172.0,15.02,3.9552628477070044,0.33,2.25,SELL,SELL
MGR,MIRVAC GROUP,9306117.0,3.21,0.5632973808146103,0.03,0.94,SELL,BUY
MND,MONADELPHOUS GROUP LIMITED,95464.0,18.7,3.45449503821563,0.05,0.27,SELL,BUY
NAN,NANOSONICS LIMITED,850441.0,5.2,1.1773925729317136,0.05,0.97,SELL,BUY
NAB,NATIONAL AUSTRALIA BANK LIMITED,10615926.0,27.51,5.157402944319323,-0.06,-0.22,BUY,BUY
NSR,NATIONAL STORAGE REIT,2831456.0,1.725,0.2532703228901967,-0.01,-0.58,SELL,BUY
NEA,NEARMAP LTD,3847757.0,3.11,0.713916792332451,-0.01,-0.32,SELL,SELL
NHC,NEW HOPE CORPORATION LIMITED,1626557.0,2.54,0.9133494589656362,-0.02,-0.78,SELL,SELL
NCM,NEWCREST MINING LIMITED,3877688.0,33.15,8.758484463925297,0.04,0.12,BUY,BUY
NWS,NEWS CORPORATION..,162440.0,19.12,1.5271423404630984,-0.07,-0.36,SELL,BUY
NXT,NEXTDC LIMITED,614800.0,6.7,1.833576432706182,0.14,2.13,BUY,BUY
NHF,NIB HOLDINGS LIMITED,758943.0,7.9,1.8849680973770524,0.18,2.33,BUY,BUY
NEC,NINE ENTERTAINMENT CO. HOLDINGS LIMITED,5125950.0,1.915,0.4038285713405845,0.005,0.26,SELL,BUY
NST,NORTHERN STAR RESOURCES LTD,4840454.0,13.47,2.7983977989818496,0.12,0.9,BUY,BUY
NWH,NRW HOLDINGS LIMITED,971430.0,2.32,0.7596095100722832,0.07,3.11,SELL,SELL
NUF,NUFARM LIMITED,2800957.0,4.58,1.8448698757777267,0.15,3.39,BUY,SELL
OSH,OIL SEARCH LIMITED,5779021.0,6.67,0.9484132199441563,0.05,0.76,SELL,SELL
OML,OOH!MEDIA LIMITED,621646.0,4.28,0.8713359131302051,0.07,1.66,BUY,BUY
ORI,ORICA LIMITED,1194835.0,20.15,2.017724072209734,0.27,1.36,SELL,BUY
ORG,ORIGIN ENERGY LIMITED,4099683.0,7.51,1.9563170548632993,0.15,2.04,BUY,BUY
ORE,OROCOBRE LIMITED,1271028.0,2.78,1.2730378183719335,0.06,2.21,SELL,SELL
ORA,ORORA LIMITED,4102749.0,3.4,0.7270739633036991,0.08,2.41,BUY,BUY
OZL,OZ MINERALS LIMITED,1745985.0,9.97,2.739452283739736,0.12,1.22,BUY,BUY
PGH,PACT GROUP HOLDINGS LTD,898907.0,2.72,1.1413758448828557,0.04,1.49,BUY,BUY
PDL,PENDAL GROUP LIMITED,957022.0,7.44,3.297238497982446,0.16,2.2,BUY,SELL
PPT,PERPETUAL LIMITED,300805.0,37.7,10.079903967500572,-0.32,-0.84,SELL,SELL
PLS,PILBARA MINERALS LIMITED,8923104.0,0.47,0.33081356553654795,-0.005,-1.05,SELL,SELL
PNI,PINNACLE INVESTMENT MANAGEMENT GROUP LIMITED,273303.0,4.45,1.811064896698375,-0.01,-0.22,SELL,SELL
PTM,PLATINUM ASSET MANAGEMENT LIMITED,928221.0,4.76,1.2985505965097475,0.02,0.42,SELL,SELL
PMV,PREMIER INVESTMENTS LIMITED,195934.0,15.99,4.482176720947182,-0.08,-0.5,BUY,SELL
QAN,QANTAS AIRWAYS LIMITED,3401670.0,5.64,0.13687724603565649,0.04,0.71,BUY,
QBE,QBE INSURANCE GROUP LIMITED,2290398.0,11.8,1.4976132833371196,0.11,0.94,SELL,SELL
QUB,QUBE HOLDINGS LIMITED,2279361.0,3.11,0.6269156701399539,0.02,0.65,BUY,BUY
RHC,RAMSAY HEALTH CARE LIMITED,262106.0,73.09,21.290825845350874,1.07,1.49,BUY,BUY
REA,REA GROUP LTD,179209.0,97.56,25.385656385958526,0.03,0.03,SELL,BUY
RRL,REGIS RESOURCES LIMITED,5519150.0,6.38,1.2567232316139487,0.09,1.43,BUY,BUY
RWC,RELIANCE WORLDWIDE CORPORATION LIMITED,4665155.0,3.6,0.9259116110727542,0.05,1.41,BUY,SELL
RMD,RESMED INC,884194.0,17.69,4.02628070660224,0.04,0.23,BUY,BUY
RSG,RESOLUTE MINING LIMITED,9512162.0,1.74,0.4526308334828341,0.06,3.57,BUY,BUY
RIO,RIO TINTO LIMITED,1633699.0,102.32,14.36084083032276,0.32,0.31,SELL,BUY
SFR,SANDFIRE RESOURCES NL,1056424.0,6.94,1.181987857283875,0.13,1.91,BUY,BUY
STO,SANTOS LIMITED,4800527.0,6.85,2.6746502981435887,-0.02,-0.29,SELL,SELL
SAR,SARACEN MINERAL HOLDINGS LIMITED,10296257.0,4.15,0.779750540769347,-0.04,-0.95,BUY,BUY
SCG,SCENTRE GROUP,13005892.0,3.95,0.8957354437151225,0.02,0.51,SELL,BUY
SEK,SEEK LIMITED,766168.0,21.23,5.20885407972874,0.08,0.38,SELL,BUY
SSM,SERVICE STREAM LIMITED,1622480.0,2.9,0.6142303494321946,-0.05,-1.69,BUY,BUY
SVW,SEVEN GROUP HOLDINGS LIMITED,1044627.0,17.63,4.7329530347041215,0.0,0.0,SELL,SELL
SCP,SHOPPING CENTRES AUSTRALASIA PROPERTY GROUP,2587496.0,2.45,0.45384178900207417,0.02,0.82,SELL,SELL
SIG,SIGMA HEALTHCARE LIMITED,1802650.0,0.6,0.22658547561216874,0.01,1.69,BUY,BUY
SGM,SIMS METAL MANAGEMENT LIMITED,467276.0,10.15,2.9885520610536207,0.14,1.4,SELL,SELL
SKC,SKYCITY ENTERTAINMENT GROUP LIMITED,110657.0,3.79,0.7755177423540341,0.0,0.0,BUY,BUY
SIQ,SMARTGROUP CORPORATION LTD,405857.0,9.2,3.451147695378651,0.0,0.0,BUY,BUY
SHL,SONIC HEALTHCARE LIMITED,861591.0,27.91,5.656099359200777,0.21,0.76,BUY,BUY
S32,SOUTH32 LIMITED,20569888.0,3.01,0.8948852091090345,0.04,1.35,SELL,SELL
SXL,SOUTHERN CROSS MEDIA GROUP LIMITED,816844.0,1.295,0.18432395158145484,0.03,2.37,BUY,BUY
SKI,SPARK INFRASTRUCTURE GROUP,6252507.0,2.35,0.587407470560902,0.01,0.43,SELL,BUY
SPK,SPARK NEW ZEALAND LIMITED,296331.0,3.76,0.9945210610151365,0.0,0.0,SELL,BUY
SDA,SPEEDCAST INTERNATIONAL LIMITED,4047540.0,1.8,1.1349824742714938,-0.03,-1.64,SELL,SELL
SBM,ST BARBARA LIMITED,5517540.0,3.55,1.218116209910734,0.05,1.43,BUY,BUY
SDF,STEADFAST GROUP LIMITED,1721684.0,3.65,0.697326962568768,0.06,1.67,BUY,BUY
SGP,STOCKLAND,7724281.0,4.64,0.747927065959608,0.04,0.87,BUY,BUY
SUN,SUNCORP GROUP LIMITED,3385560.0,13.18,2.946759485369363,0.14,1.07,SELL,SELL
SUL,SUPER RETAIL GROUP LIMITED,529338.0,9.43,1.9201529142246738,-0.04,-0.42,BUY,BUY
SYD,SYDNEY AIRPORT,4915212.0,8.13,1.9211576359005031,0.23,2.91,BUY,BUY
TAH,TABCORP HOLDINGS LIMITED,3281162.0,4.6,1.0590815112990657,0.0,0.0,BUY,SELL
TGR,TASSAL GROUP LIMITED,516658.0,4.86,1.2764785563064875,0.07,1.46,SELL,SELL
TNE,TECHNOLOGY ONE LIMITED,614062.0,7.82,2.0848667632539843,0.07,0.9,SELL,SELL
TLS,TELSTRA CORPORATION LIMITED.,15869239.0,3.84,1.0602733669319337,0.05,1.32,SELL,BUY
A2M,THE A2 MILK COMPANY LIMITED,1334310.0,16.22,4.790241102702472,0.16,1.0,BUY,BUY
SGR,THE STAR ENTERTAINMENT GROUP LIMITED,5557798.0,4.07,1.0277580468592284,-0.02,-0.49,SELL,SELL
TPM,TPG TELECOM LIMITED,547132.0,6.56,3.0011286262183634,0.13,2.02,SELL,SELL
TCL,TRANSURBAN GROUP,3761996.0,15.09,3.219405173967689,0.19,1.28,BUY,BUY
TWE,TREASURY WINE ESTATES LIMITED,1493367.0,16.4,5.03751556041659,0.13,0.8,BUY,BUY
URW,UNIBAIL-RODAMCO-WESTFIELD,787097.0,10.16,1.3341871308263633,0.03,0.3,SELL,SELL
VCX,VICINITY CENTRES,8757860.0,2.6,0.46505581407522373,0.03,1.17,BUY,BUY
VEA,VIVA ENERGY GROUP LIMITED,4064589.0,2.24,0.21562397301724648,0.05,2.28,BUY,SELL
VVR,VIVA ENERGY REIT,1318079.0,2.61,0.2046427850045964,-0.01,-0.38,SELL,BUY
VOC,VOCUS GROUP LIMITED,2252791.0,2.98,2.0536334076541554,-0.06,-1.97,SELL,SELL
SOL,WASHINGTON H SOUL PATTINSON & COMPANY LIMITED,314799.0,22.28,4.56474763835027,0.37,1.69,SELL,SELL
